,Date,high,low,vol,rate,rate bin,7day,14day,28day,90day,180day,365day,
,5/15/16,463.6,458.5,3270,0.1,4,-3.7,18.6,48.3,27.2,55.1,288.9,
,5/16/16,461.6,451.5,6019.2,0,4,-3.3,17.2,56,27.1,55.3,285.1,
,5/17/16,457.5,452.2,6033.9,0,4,-2,19.1,54.4,25.7,54.3,302.2,
,5/18/16,457.9,453.6,5512.4,0,4,-1.2,18.3,52.7,27.1,54.8,315,
,5/19/16,456.4,435,8412.6,0,4,-0.3,18.6,70.4,27.5,56.9,333.8,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Rate Bin,7day,14 day,28 day,90 day,180 day,365 day,,,,,,
,0,3.28,7.23,15.80,51.66,117.23,252.35,,,,,,
,1,2.02,4.32,10.50,34.18,81.06,204.40,,,,,,
,2,0.88,3.10,6.24,30.77,81.95,169.03,,,,,,
,3,1.52,1.88,2.48,17.95,38.92,162.14,,,,,,
,4,2.81,5.15,10.36,35.08,91.61,309.98,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,0,-51.657183,,0,-117.226223,,0,-252.350675
,,,,,,1,-34.17571,,1,-81.058969,,1,-204.400456
,,,,,,2,-30.773405,,2,-81.953927,,2,-169.030716
,,,,,,3,-17.952687,,3,-38.916234,,3,-162.140955
,,,,,,4,-35.07851,,4,-91.612084,,4,-309.982589